"nearest_seamount_id","nearest_seamount_distance_m","pixel_id"
1136424,311344.87828826,884
1136424,354644.327976312,885
1136424,397944.571075035,886
1136424,441245.374007829,887
1136424,484546.58668843,888
5505802,523757.420121268,889
5505802,498710.401084911,890
5505802,476290.467384499,891
5505802,456884.526598689,892
5505802,440890.743974241,893
5505802,428691.196261243,894
5505802,420616.157006031,895
5506422,412309.081875044,896
5506422,407080.750846619,897
1125052,389865.685589191,898
5509258,374937.31936328,899
5509258,363388.881467167,900
5509258,356756.613182549,901
5511621,352115.99585568,902
5511621,333334.083519774,903
5511621,319355.388380069,904
5528688,281962.642294716,905
5528688,241177.796523168,906
5528688,201446.875316083,907
5528688,163539.823181828,908
5528688,129073.700307077,909
5528688,101612.413653385,910
5528688,87979.8912187321,911
5528822,92652.0431060153,912
5525427,82731.6187875778,913
5525427,39740.679371107,914
5525456,6263.42707599442,915
5525456,44417.9032176398,916
5525456,87504.2049655587,917
5525456,130733.843361026,918
5525456,174000.016856679,919
5525456,217280.901335554,920
5525456,260569.166359232,921
5525456,303861.657637135,922
