flag_fin,region,length_category,year,days_at_sea,f_transit_med,s_transit_floor,das_trip_med,radius_km_med
SUR,LatinAmerica,24-50m,1983,197.63287115008,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1984,197.632983953621,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1985,197.632934488662,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1986,197.632901408518,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1987,197.632888883212,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1988,197.632882140752,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1989,197.632937536404,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1990,197.632888380241,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1991,197.632918236179,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1992,197.632925431494,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1993,197.632877553793,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1994,198.4283127193,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1995,198.447229100848,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1996,198.410484763091,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1997,198.426378518737,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1998,199.041133009857,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1999,199.142904942971,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2000,199.649451734607,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2001,200.14647149577,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2002,200.593984564036,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2003,200.949591481473,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2004,201.261323258204,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2005,201.644564420246,0.488898244214761,10,6,651.916474765731
